"cluster_condition"," ","GO cluster","IC","GO ID","term","definition","name pvalue","name -log10_pvalue","ID","temperature","ontology","gene_count","cluster","direction"
"cluster8_30","50","12",8.77,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006614"">GO:0006614</a>","SRP-dependent cotranslational protein targeting to membrane","The targeting of proteins to a membrane that occurs during translation and is dependent upon two key components, the signal-recognition particle (SRP) and the SRP receptor. SRP is a cytosolic particle that transiently binds to the endoplasmic reticulum (ER) signal sequence in a nascent protein, to the large ribosomal unit, and to the SRP receptor in the ER membrane.",9.133343e-22,21.04,"GO:0006614","30","BP",26,"cluster8","up"
"cluster8_30","51","12",8.03,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045047"">GO:0045047</a>","protein targeting to ER","The process of directing proteins towards the endoplasmic reticulum (ER) using signals contained within the protein. One common mechanism uses a 16- to 30-residue signal sequence, typically located at the N-terminus of the protein and containing positively charged amino acids followed by a continuous stretch of hydrophobic residues, which directs the ribosome to the ER membrane and initiates transport of the growing polypeptide across the ER membrane.",5.281142e-20,19.28,"GO:0045047","30","BP",26,"cluster8","up"
"cluster8_30","52","12",6.55,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006605"">GO:0006605</a>","protein targeting","The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif.",3.613909e-13,12.44,"GO:0006605","30","BP",34,"cluster8","up"
"cluster8_30","53","12",6.04,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006886"">GO:0006886</a>","intracellular protein transport","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",0.0002019854,3.69,"GO:0006886","30","BP",38,"cluster8","up"
"cluster8_30","54","12",7.47,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006612"">GO:0006612</a>","protein targeting to membrane","The process of directing proteins towards a membrane, usually using signals contained within the protein.",3.652171e-19,18.44,"GO:0006612","30","BP",29,"cluster8","up"
"cluster8_30","55","12",8.16,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006613"">GO:0006613</a>","cotranslational protein targeting to membrane","The targeting of proteins to a membrane that occurs during translation. The transport of most secretory proteins, particularly those with more than 100 amino acids, into the endoplasmic reticulum lumen occurs in this manner, as does the import of some proteins into mitochondria.",9.133343e-22,21.04,"GO:0006613","30","BP",26,"cluster8","up"
"cluster8_30","56","13",5.4,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042886"">GO:0042886</a>","amide transport","The directed movement of an amide, any compound containing one, two, or three acyl groups attached to a nitrogen atom, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",0.0003993853,3.4,"GO:0042886","30","BP",43,"cluster8","up"
"cluster8_30","57","13",4.25,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0071705"">GO:0071705</a>","nitrogen compound transport","The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",0.002163811,2.66,"GO:0071705","30","BP",48,"cluster8","up"
"cluster8_30","58","13",4.13,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0071702"">GO:0071702</a>","organic substance transport","The directed movement of organic substances into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore. An organic substance is a molecular entity that contains carbon.",0.002815453,2.55,"GO:0071702","30","BP",49,"cluster8","up"
"cluster8_30","59","13",5.05,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0015031"">GO:0015031</a>","protein transport","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",0.0006732547,3.17,"GO:0015031","30","BP",42,"cluster8","up"
"cluster8_30","60","13",5.69,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0015833"">GO:0015833</a>","peptide transport","The directed movement of peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",0.0005756102,3.24,"GO:0015833","30","BP",42,"cluster8","up"
"cluster8_30","61","14",10.38,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032790"">GO:0032790</a>","ribosome disassembly","The disaggregation of a ribosome into its constituent components; includes the dissociation of ribosomal subunits.",0.0002837166,3.55,"GO:0032790","30","BP",4,"cluster8","up"
"cluster8_30","62","14",10.24,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032988"">GO:0032988</a>","protein-RNA complex disassembly","The disaggregation of a protein-RNA complex into its constituent components.",0.003968608,2.4,"GO:0032988","30","BP",4,"cluster8","up"
"cluster8_30","63","14",6.83,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0071826"">GO:0071826</a>","protein-RNA complex organization","Any process in which macromolecules aggregate, disaggregate, or are modified, resulting in the formation, disassembly, or alteration of a ribonucleoprotein complex.",1.910531e-05,4.72,"GO:0071826","30","BP",21,"cluster8","up"
"cluster8_30","64","15",5.93,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0022613"">GO:0022613</a>","ribonucleoprotein complex biogenesis","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex.",0.001366108,2.86,"GO:0022613","30","BP",24,"cluster8","up"
"cluster8_30","65","15",8.1,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042274"">GO:0042274</a>","ribosomal small subunit biogenesis","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a small ribosomal subunit; includes transport to the sites of protein synthesis.",0.001272842,2.9,"GO:0042274","30","BP",9,"cluster8","up"
"cluster8_30","66","15",6.5,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042254"">GO:0042254</a>","ribosome biogenesis","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis.",9.064413e-05,4.04,"GO:0042254","30","BP",20,"cluster8","up"
"cluster8_30","67","15",8.52,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042273"">GO:0042273</a>","ribosomal large subunit biogenesis","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a large ribosomal subunit; includes transport to the sites of protein synthesis.",1.752365e-06,5.76,"GO:0042273","30","BP",11,"cluster8","up"
"cluster8_30","68","16",8.63,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042255"">GO:0042255</a>","ribosome assembly","The aggregation, arrangement and bonding together of the mature ribosome and of its subunits.",1.128146e-08,7.95,"GO:0042255","30","BP",13,"cluster8","up"
"cluster8_30","69","16",7.25,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0022618"">GO:0022618</a>","protein-RNA complex assembly","The aggregation, arrangement and bonding together of proteins and RNA molecules to form a ribonucleoprotein complex.",0.0004050255,3.39,"GO:0022618","30","BP",17,"cluster8","up"
"cluster8_30","70","16",9.92,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0000027"">GO:0000027</a>","ribosomal large subunit assembly","The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit.",0.0005064537,3.3,"GO:0000027","30","BP",6,"cluster8","up"
"cluster8_30","71","16",10.24,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0000028"">GO:0000028</a>","ribosomal small subunit assembly","The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the small ribosomal subunit.",1.407372e-06,5.85,"GO:0000028","30","BP",7,"cluster8","up"
"cluster8_30","72","17",4.71,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010558"">GO:0010558</a>","negative regulation of macromolecule biosynthetic process","Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",0.0002758517,3.56,"GO:0010558","30","BP",32,"cluster8","up"
"cluster8_30","73","17",4.11,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010605"">GO:0010605</a>","negative regulation of macromolecule metabolic process","Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",0.0004191799,3.38,"GO:0010605","30","BP",76,"cluster8","up"
"cluster8_30","74","17",5.29,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010629"">GO:0010629</a>","negative regulation of gene expression","Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA).",0.0003232823,3.49,"GO:0010629","30","BP",63,"cluster8","up"
"cluster8_30","75","18",2.66,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048519"">GO:0048519</a>","negative regulation of biological process","Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule.",0.006279857,2.2,"GO:0048519","30","BP",110,"cluster8","up"
"cluster8_30","76","18",3.08,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048523"">GO:0048523</a>","negative regulation of cellular process","Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level.",0.001613835,2.79,"GO:0048523","30","BP",86,"cluster8","up"
"cluster8_30","77","18",4.44,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009890"">GO:0009890</a>","negative regulation of biosynthetic process","Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances.",0.0004736344,3.32,"GO:0009890","30","BP",33,"cluster8","up"
"cluster8_30","78","18",3.52,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009892"">GO:0009892</a>","negative regulation of metabolic process","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.",0.0003675573,3.43,"GO:0009892","30","BP",81,"cluster8","up"
"cluster8_30","79","18",3.96,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0031324"">GO:0031324</a>","negative regulation of cellular metabolic process","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances.",0.0002809963,3.55,"GO:0031324","30","BP",53,"cluster8","up"
"cluster8_30","80","18",4.56,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0031327"">GO:0031327</a>","negative regulation of cellular biosynthetic process","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells.",0.0003531355,3.45,"GO:0031327","30","BP",32,"cluster8","up"
"cluster8_30","81","19",7.69,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032944"">GO:0032944</a>","regulation of mononuclear cell proliferation","Any process that modulates the frequency, rate or extent of mononuclear cell proliferation.",0.007605902,2.12,"GO:0032944","30","BP",6,"cluster8","up"
"cluster8_30","82","19",8.89,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042129"">GO:0042129</a>","regulation of T cell proliferation","Any process that modulates the frequency, rate or extent of T cell proliferation.",0.001549761,2.81,"GO:0042129","30","BP",6,"cluster8","up"
"cluster8_30","83","19",8.05,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0050670"">GO:0050670</a>","regulation of lymphocyte proliferation","Any process that modulates the frequency, rate or extent of lymphocyte proliferation.",0.007605902,2.12,"GO:0050670","30","BP",6,"cluster8","up"
"cluster8_30","84","20",8.56,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042098"">GO:0042098</a>","T cell proliferation","The expansion of a T cell population by cell division. Follows T cell activation.",0.0005276743,3.28,"GO:0042098","30","BP",3,"cluster8","up"
"cluster8_30","85","20",7.74,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046651"">GO:0046651</a>","lymphocyte proliferation","The expansion of a lymphocyte population by cell division.",0.003122253,2.51,"GO:0046651","30","BP",3,"cluster8","up"
"cluster8_30","86","21",7.39,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032943"">GO:0032943</a>","mononuclear cell proliferation","The expansion of a mononuclear cell population by cell division. A mononuclear cell is a leukocyte with a single non-segmented nucleus in the mature form.",0.003122253,2.51,"GO:0032943","30","BP",3,"cluster8","up"
"cluster8_30","87","21",7.11,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0070661"">GO:0070661</a>","leukocyte proliferation","The expansion of a leukocyte population by cell division.",0.004158494,2.38,"GO:0070661","30","BP",3,"cluster8","up"
"cluster8_30","88","22",10.53,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0033630"">GO:0033630</a>","positive regulation of cell adhesion mediated by integrin","Any process that activates or increases the frequency, rate, or extent of cell adhesion mediated by integrin.",0.001862956,2.73,"GO:0033630","30","BP",4,"cluster8","up"
"cluster8_30","89","22",7.36,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0019722"">GO:0019722</a>","calcium-mediated signaling","Any intracellular signal transduction in which the signal is passed on within the cell via calcium ions.",0.008266626,2.08,"GO:0019722","30","BP",7,"cluster8","up"
"cluster8_30","90","22",10.12,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1901223"">GO:1901223</a>","negative regulation of non-canonical NF-kappaB signal transduction","NA",0.001408315,2.85,"GO:1901223","30","BP",5,"cluster8","up"
"cluster8_30","91","22",6.96,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0140694"">GO:0140694</a>","non-membrane-bounded organelle assembly","NA",0.001969555,2.71,"GO:0140694","30","BP",NA,"cluster8","up"
"cluster8_30","92","22",10.24,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0090050"">GO:0090050</a>","positive regulation of cell migration involved in sprouting angiogenesis","Any process that increases the frequency, rate or extent of cell migration involved in sprouting angiogenesis. Cell migration involved in sprouting angiogenesis is the orderly movement of endothelial cells into the extracellular matrix in order to form new blood vessels contributing to the process of sprouting angiogenesis.",0.007249153,2.14,"GO:0090050","30","BP",4,"cluster8","up"
"cluster8_30","93","22",9.84,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1903672"">GO:1903672</a>","positive regulation of sprouting angiogenesis","NA",0.006674778,2.18,"GO:1903672","30","BP",5,"cluster8","up"
"cluster8_30","94","23",10.02,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048132"">GO:0048132</a>","female germ-line stem cell asymmetric division","The self-renewing division of a germline stem cell in the female gonad, to produce a daughter stem cell and a daughter germ cell, which will divide to form the female gametes.",0.0002537027,3.6,"GO:0048132","30","BP",6,"cluster8","up"
"cluster8_30","95","23",8.8,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042078"">GO:0042078</a>","germ-line stem cell division","The self-renewing division of a germline stem cell to produce a daughter stem cell and a daughter germ cell, which will divide to form the gametes.",0.001549761,2.81,"GO:0042078","30","BP",6,"cluster8","up"
"cluster8_30","96","23",9.28,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0098728"">GO:0098728</a>","germline stem cell asymmetric division","The self-renewing division of a germline stem cell, to produce a daughter stem cell and a daughter germ cell which will divide to form one or more gametes.",0.0002537027,3.6,"GO:0098728","30","BP",6,"cluster8","up"
"cluster8_30","97","24",9.43,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0016322"">GO:0016322</a>","neuron remodeling","The developmentally regulated remodeling of neuronal projections such as pruning to eliminate the extra dendrites and axons projections set up in early stages of nervous system development.",0.005416801,2.27,"GO:0016322","30","BP",5,"cluster8","up"
"cluster8_30","98","24",8.45,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042551"">GO:0042551</a>","neuron maturation","A developmental process, independent of morphogenetic (shape) change, that is required for a neuron to attain its fully functional state.",0.005671151,2.25,"GO:0042551","30","BP",6,"cluster8","up"
"cluster8_30","99","24",8.66,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030718"">GO:0030718</a>","germ-line stem cell population maintenance","Any process by which an organism or tissue maintains a population of germ-line stem cells.",0.0005126254,3.29,"GO:0030718","30","BP",10,"cluster8","up"
"cluster8_30","100","24",6.43,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030098"">GO:0030098</a>","lymphocyte differentiation","The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin.",0.004072488,2.39,"GO:0030098","30","BP",10,"cluster8","up"
"cluster8_30","101","24",7.78,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0035218"">GO:0035218</a>","leg disc development","Progression of the leg imaginal disc over time, from its initial formation through to its metamorphosis to form adult structures including the leg, coxa and ventral thoracic pleura.",0.00888596,2.05,"GO:0035218","30","BP",8,"cluster8","up"
"cluster8_30","1","1",6.44,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0005085"">GO:0005085</a>","guanyl-nucleotide exchange factor activity","Stimulates the exchange of GDP to GTP on a signaling GTPase, changing its conformation to its active form. Guanine nucleotide exchange factors (GEFs) act by stimulating the release of guanosine diphosphate (GDP) to allow binding of guanosine triphosphate (GTP), which is more abundant in the cell under normal cellular physiological conditions.",0.002192778,2.66,"GO:0005085","30","MF",13,"cluster8","up"
"cluster8_30","2","1",6.5,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0019210"">GO:0019210</a>","kinase inhibitor activity","Binds to and stops, prevents or reduces the activity of a kinase.",0.0008161428,3.09,"GO:0019210","30","MF",6,"cluster8","up"
"cluster8_30","3","1",6.89,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0004860"">GO:0004860</a>","protein kinase inhibitor activity","Binds to and stops, prevents or reduces the activity of a protein kinase.",0.0008161428,3.09,"GO:0004860","30","MF",6,"cluster8","up"
"cluster8_30","4","1",7.72,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030291"">GO:0030291</a>","protein serine/threonine kinase inhibitor activity","Binds to and stops, prevents or reduces the activity of a protein serine/threonine kinase.",0.008976366,2.05,"GO:0030291","30","MF",3,"cluster8","up"
"cluster8_30","5","2",2.52,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003676"">GO:0003676</a>","nucleic acid binding","Binding to a nucleic acid.",0.007325078,2.14,"GO:0003676","30","MF",68,"cluster8","up"
"cluster8_30","6","2",3.96,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003723"">GO:0003723</a>","RNA binding","Binding to an RNA molecule or a portion thereof.",0.0003027413,3.52,"GO:0003723","30","MF",43,"cluster8","up"
"cluster8_30","7","2",7.07,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0019843"">GO:0019843</a>","rRNA binding","Binding to a ribosomal RNA.",7.816066e-07,6.11,"GO:0019843","30","MF",10,"cluster8","up"
"cluster8_30","8","3",6.23,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003735"">GO:0003735</a>","structural constituent of ribosome","The action of a molecule that contributes to the structural integrity of the ribosome.",7.598352e-24,23.12,"GO:0003735","30","MF",39,"cluster8","up"
"cluster8_30","9","3",5.05,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0005198"">GO:0005198</a>","structural molecule activity","The action of a molecule that contributes to the structural integrity of a complex.",1.045234e-14,13.98,"GO:0005198","30","MF",42,"cluster8","up"
"cluster8_30","10","4",8.09,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0050699"">GO:0050699</a>","WW domain binding","Binding to a WW domain of a protein, a small module composed of 40 amino acids and plays a role in mediating protein-protein interactions via proline-rich regions.",0.001850027,2.73,"GO:0050699","30","MF",5,"cluster8","up"
"cluster8_30","11","4",6.32,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043021"">GO:0043021</a>","ribonucleoprotein complex binding","Binding to a complex of RNA and protein.",0.0002466366,3.61,"GO:0043021","30","MF",11,"cluster8","up"
"cluster8_30","12","4",7.4,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043022"">GO:0043022</a>","ribosome binding","Binding to a ribosome.",0.001306282,2.88,"GO:0043022","30","MF",5,"cluster8","up"
"cluster8_35","1","1",8.18,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048546"">GO:0048546</a>","digestive tract morphogenesis","The process in which the anatomical structures of the digestive tract are generated and organized. The digestive tract is the anatomical structure through which food passes and is processed.",0.000530601,3.28,"GO:0048546","35","BP",8,"cluster8","up"
"cluster8_35","2","1",10.24,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048557"">GO:0048557</a>","embryonic digestive tract morphogenesis","The process in which the anatomical structures of the digestive tract are generated and organized during embryonic development. The digestive tract is the anatomical structure through which food passes and is processed.",0.005050244,2.3,"GO:0048557","35","BP",4,"cluster8","up"
"cluster8_35","3","1",7.19,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048565"">GO:0048565</a>","digestive tract development","The process whose specific outcome is the progression of the digestive tract over time, from its formation to the mature structure. The digestive tract is the anatomical structure through which food passes and is processed.",0.009724321,2.01,"GO:0048565","35","BP",12,"cluster8","up"
"cluster8_35","4","1",6.9,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0055123"">GO:0055123</a>","digestive system development","The process whose specific outcome is the progression of the digestive system over time, from its formation to the mature structure. The digestive system is the entire structure in which digestion takes place. Digestion is all of the physical, chemical, and biochemical processes carried out by multicellular organisms to break down ingested nutrients into components that may be easily absorbed and directed into metabolism.",0.007127004,2.15,"GO:0055123","35","BP",13,"cluster8","up"
"cluster8_35","5","1",9.38,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048566"">GO:0048566</a>","embryonic digestive tract development","The process whose specific outcome is the progression of the gut over time, from its formation to the mature structure during embryonic development. The gut is the region of the digestive tract extending from the beginning of the intestines to the anus.",0.003433377,2.46,"GO:0048566","35","BP",5,"cluster8","up"
"cluster8_35","6","1",6,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048568"">GO:0048568</a>","embryonic organ development","Development, taking place during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions.",0.006006059,2.22,"GO:0048568","35","BP",20,"cluster8","up"
"cluster8_35","7","1",5.46,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007420"">GO:0007420</a>","brain development","The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.).",0.002637535,2.58,"GO:0007420","35","BP",31,"cluster8","up"
"cluster8_35","8","1",9.49,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0016319"">GO:0016319</a>","mushroom body development","The process whose specific outcome is the progression of the mushroom body over time, from its formation to the mature structure. The mushroom body is composed of the prominent neuropil structures of the insect central brain, thought to be crucial for olfactory associated learning. These consist mainly of a bulbous calyx and tightly packaged arrays of thin parallel fibers of the Kenyon cells.",0.0003281295,3.48,"GO:0016319","35","BP",8,"cluster8","up"
"cluster8_35","9","1",3.38,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007399"">GO:0007399</a>","nervous system development","The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state.",0.000236608,3.63,"GO:0007399","35","BP",79,"cluster8","up"
"cluster8_35","10","1",5.06,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007417"">GO:0007417</a>","central nervous system development","The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord.",0.004272459,2.37,"GO:0007417","35","BP",37,"cluster8","up"
"cluster8_35","11","1",6.39,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007517"">GO:0007517</a>","muscle organ development","The process whose specific outcome is the progression of the muscle over time, from its formation to the mature structure. The muscle is an organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work.",0.001326502,2.88,"GO:0007517","35","BP",15,"cluster8","up"
"cluster8_35","12","1",7.45,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060538"">GO:0060538</a>","skeletal muscle organ development","The progression of a skeletal muscle organ over time from its initial formation to its mature state. A skeletal muscle organ includes the skeletal muscle tissue and its associated connective tissue.",0.00383545,2.42,"GO:0060538","35","BP",9,"cluster8","up"
"cluster8_35","13","1",6.44,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0035220"">GO:0035220</a>","wing disc development","Progression of the wing disc over time, from its initial formation through to its metamorphosis to form adult structures including the wing hinge, wing blade and pleura.",0.006293392,2.2,"GO:0035220","35","BP",20,"cluster8","up"
"cluster8_35","14","1",7.49,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0001655"">GO:0001655</a>","urogenital system development","The process whose specific outcome is the progression of the urogenital system over time, from its formation to the mature structure.",0.003941639,2.4,"GO:0001655","35","BP",17,"cluster8","up"
"cluster8_35","15","1",5.8,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0072001"">GO:0072001</a>","renal system development","The process whose specific outcome is the progression of the renal system over time, from its formation to the mature structure. The renal system maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products. In humans, the renal system comprises a pair of kidneys, a pair of ureters, urinary bladder, urethra, sphincter muscle and associated blood vessels.",0.008414179,2.07,"GO:0072001","35","BP",14,"cluster8","up"
"cluster8_35","16","1",6.68,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060485"">GO:0060485</a>","mesenchyme development","The process whose specific outcome is the progression of a mesenchymal tissue over time, from its formation to the mature structure. A mesenchymal tissue is made up of loosely packed stellate cells.",0.00344941,2.46,"GO:0060485","35","BP",10,"cluster8","up"
"cluster8_35","17","1",4.47,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009887"">GO:0009887</a>","animal organ morphogenesis","Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions.",0.0001223647,3.91,"GO:0009887","35","BP",51,"cluster8","up"
"cluster8_35","18","1",6.36,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060541"">GO:0060541</a>","respiratory system development","The progression of the respiratory system over time from its formation to its mature structure. The respiratory system carries out respiratory gaseous exchange.",0.001161756,2.93,"GO:0060541","35","BP",21,"cluster8","up"
"cluster8_35","19","1",3.24,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048513"">GO:0048513</a>","animal organ development","Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions.",8.905867e-05,4.05,"GO:0048513","35","BP",101,"cluster8","up"
"cluster8_35","20","1",2.77,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048731"">GO:0048731</a>","system development","The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process.",0.0002492737,3.6,"GO:0048731","35","BP",118,"cluster8","up"
