"cluster_condition"," ","GO cluster","IC","GO ID","term","definition","name pvalue","name -log10_pvalue","ID","cluster","direction","temperature","ontology"
"blue_control","1","1",6.29,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003735"">GO:0003735</a>","structural constituent of ribosome","The action of a molecule that contributes to the structural integrity of the ribosome.",7.382256e-06,5.13,"GO:0003735","blue","up","control","MF"
"blue_control","2","1",6.25,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0050839"">GO:0050839</a>","cell adhesion molecule binding","Binding to a cell adhesion molecule.",0.001728309,2.76,"GO:0050839","blue","up","control","MF"
"blue_30","1","1",9.51,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003159"">GO:0003159</a>","morphogenesis of an endothelium","The process in which the anatomical structure of an endothelium is generated and organized. Endothelium refers to the layer of cells lining blood vessels, lymphatics, the heart, and serous cavities, and is derived from bone marrow or mesoderm. Corneal endothelium is a special case, derived from neural crest cells.",0.002161134,2.67,"GO:0003159","blue","up","30","BP"
"blue_30","2","1",5.97,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060562"">GO:0060562</a>","epithelial tube morphogenesis","The process in which the anatomical structures of a tube are generated and organized from an epithelium. Epithelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system.",0.004503389,2.35,"GO:0060562","blue","up","30","BP"
"blue_30","3","1",9.91,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0061154"">GO:0061154</a>","endothelial tube morphogenesis","The process in which the anatomical structures of a tube are generated and organized from an endothelium. Endothelium refers to the layer of cells lining blood vessels, lymphatics, the heart, and serous cavities, and is derived from bone marrow or mesoderm. Corneal endothelium is a special case, derived from neural crest cells.",0.002161134,2.67,"GO:0061154","blue","up","30","BP"
"blue_30","4","1",10.79,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0097498"">GO:0097498</a>","endothelial tube lumen extension","Any endothelial tube morphogenesis process by which the tube is increased in length.",0.0007925361,3.1,"GO:0097498","blue","up","30","BP"
"blue_30","5","2",5.6,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007444"">GO:0007444</a>","imaginal disc development","The process whose specific outcome is the progression of the imaginal disc over time, from its formation to the metamorphosis to form adult structures. Imaginal discs are epithelial infoldings in the larvae of holometabolous insects that develop into adult structures (legs, antennae, wings, etc.).",0.00176458,2.75,"GO:0007444","blue","up","30","BP"
"blue_30","6","2",6.54,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0035220"">GO:0035220</a>","wing disc development","Progression of the wing disc over time, from its initial formation through to its metamorphosis to form adult structures including the wing hinge, wing blade and pleura.",0.002161511,2.67,"GO:0035220","blue","up","30","BP"
"blue_30","7","2",7.41,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007476"">GO:0007476</a>","imaginal disc-derived wing morphogenesis","The process in which the anatomical structures of the imaginal disc-derived wing are generated and organized. The wing is an appendage modified for flying.",0.004245538,2.37,"GO:0007476","blue","up","30","BP"
"blue_30","8","2",7.03,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007472"">GO:0007472</a>","wing disc morphogenesis","The process in which the anatomical structures derived from the wing disc are generated and organized. This includes the transformation of a wing imaginal disc from a monolayered epithelium in the larvae of holometabolous insects into recognizable adult structures including the wing hinge, wing blade and pleura.",0.0007779285,3.11,"GO:0007472","blue","up","30","BP"
"blue_30","9","2",6.33,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007560"">GO:0007560</a>","imaginal disc morphogenesis","The process in which the anatomical structures derived from an imaginal disc are generated and organized. The imaginal discs are epithelial infoldings in the larvae of holometabolous insects that develop into adult appendages (legs, antennae, wings, etc.) during metamorphosis from larval to adult form.",0.000536603,3.27,"GO:0007560","blue","up","30","BP"
"blue_30","10","3",8.21,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003158"">GO:0003158</a>","endothelium development","The process whose specific outcome is the progression of an endothelium over time, from its formation to the mature structure. Endothelium refers to the layer of cells lining blood vessels, lymphatics, the heart, and serous cavities, and is derived from bone marrow or mesoderm. Corneal endothelium is a special case, derived from neural crest cells.",0.0001621452,3.79,"GO:0003158","blue","up","30","BP"
"blue_30","11","3",4.25,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060429"">GO:0060429</a>","epithelium development","The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure.",0.003025558,2.52,"GO:0060429","blue","up","30","BP"
"blue_30","12","3",6.35,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0008544"">GO:0008544</a>","epidermis development","The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species.",0.009362417,2.03,"GO:0008544","blue","up","30","BP"
"blue_30","13","3",3.71,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009888"">GO:0009888</a>","tissue development","The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure.",0.0009313893,3.03,"GO:0009888","blue","up","30","BP"
"blue_30","14","3",1.85,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048856"">GO:0048856</a>","anatomical structure development","The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome.",0.0005864274,3.23,"GO:0048856","blue","up","30","BP"
"blue_30","15","3",4.83,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0000902"">GO:0000902</a>","cell morphogenesis","The developmental process in which the size or shape of a cell is generated and organized.",0.004687449,2.33,"GO:0000902","blue","up","30","BP"
"blue_30","16","3",3.14,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009653"">GO:0009653</a>","anatomical structure morphogenesis","The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form.",7.15631e-06,5.15,"GO:0009653","blue","up","30","BP"
"blue_30","17","3",5,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048646"">GO:0048646</a>","anatomical structure formation involved in morphogenesis","The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome.",0.0002611659,3.58,"GO:0048646","blue","up","30","BP"
"blue_30","18","3",6.3,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0071695"">GO:0071695</a>","anatomical structure maturation","A developmental process, independent of morphogenetic (shape) change, that is required for an anatomical structure to attain its fully functional state.",3.451328e-05,4.46,"GO:0071695","blue","up","30","BP"
"blue_30","19","3",6.1,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0021700"">GO:0021700</a>","developmental maturation","A developmental process, independent of morphogenetic (shape) change, that is required for an anatomical structure, cell or cellular component to attain its fully functional state.",1.003256e-05,5,"GO:0021700","blue","up","30","BP"
"blue_30","20","3",1.7,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032502"">GO:0032502</a>","developmental process","A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition.",0.00378377,2.42,"GO:0032502","blue","up","30","BP"
"blue_30","21","4",10.2,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043931"">GO:0043931</a>","ossification involved in bone maturation","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone, involved in the progression of the skeleton from its formation to its mature state.",0.008342656,2.08,"GO:0043931","blue","up","30","BP"
"blue_30","22","4",8.68,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048799"">GO:0048799</a>","animal organ maturation","A developmental process, independent of morphogenetic (shape) change, that is required for an animal organ to attain its fully functional state. An organ is a tissue or set of tissues that work together to perform a specific function or functions.",0.006592069,2.18,"GO:0048799","blue","up","30","BP"
"blue_30","23","4",6.29,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0001568"">GO:0001568</a>","blood vessel development","The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood.",0.004258129,2.37,"GO:0001568","blue","up","30","BP"
"blue_30","24","4",5.94,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0001944"">GO:0001944</a>","vasculature development","The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism.",0.007820539,2.11,"GO:0001944","blue","up","30","BP"
"blue_30","25","4",5.56,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0150063"">GO:0150063</a>","visual system development","NA",0.007049503,2.15,"GO:0150063","blue","up","30","BP"
"blue_30","26","4",2.76,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048731"">GO:0048731</a>","system development","The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process.",0.002122415,2.67,"GO:0048731","blue","up","30","BP"
"blue_30","27","4",5.5,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048880"">GO:0048880</a>","sensory system development","The process whose specific outcome is the progression of a sensory system over time from its formation to the mature structure.",0.004890218,2.31,"GO:0048880","blue","up","30","BP"
"blue_30","28","4",9.35,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0072210"">GO:0072210</a>","metanephric nephron development","The process whose specific outcome is the progression of a nephron in the metanephros over time, from its formation to the mature structure. A nephron is the functional unit of the kidney.",0.002161134,2.67,"GO:0072210","blue","up","30","BP"
"blue_30","29","4",5.56,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0001654"">GO:0001654</a>","eye development","The process whose specific outcome is the progression of the eye over time, from its formation to the mature structure. The eye is the organ of sight.",0.007049503,2.15,"GO:0001654","blue","up","30","BP"
"blue_30","30","4",6.89,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048839"">GO:0048839</a>","inner ear development","The process whose specific outcome is the progression of the inner ear over time, from its formation to the mature structure.",0.009447142,2.02,"GO:0048839","blue","up","30","BP"
"blue_30","31","4",4.97,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007423"">GO:0007423</a>","sensory organ development","The process whose specific outcome is the progression of sensory organs over time, from its formation to the mature structure.",0.001187186,2.93,"GO:0007423","blue","up","30","BP"
"blue_30","32","4",3.2,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048513"">GO:0048513</a>","animal organ development","Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions.",0.00642377,2.19,"GO:0048513","blue","up","30","BP"
"blue_30","33","5",8.37,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007391"">GO:0007391</a>","dorsal closure","The process during Drosophila embryogenesis whereby the ectodermal cells of the lateral epithelium stretch in a coordinated fashion to internalize the amnioserosa cells and close the embryo dorsally.",0.008149575,2.09,"GO:0007391","blue","up","30","BP"
"blue_30","34","5",9.51,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030588"">GO:0030588</a>","pseudocleavage","Partial constriction of the cytoplasm of a cell to form a furrow that resembles a cleavage furrow but does not complete cytokinesis.",0.001687769,2.77,"GO:0030588","blue","up","30","BP"
"blue_30","35","5",7.57,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0001700"">GO:0001700</a>","embryonic development via the syncytial blastoderm","The process whose specific outcome is the progression of the embryo over time, from zygote formation through syncytial blastoderm to the hatching of the first instar larva. An example of this process is found in Drosophila melanogaster.",0.003831893,2.42,"GO:0001700","blue","up","30","BP"
"blue_30","36","5",10.45,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030589"">GO:0030589</a>","pseudocleavage involved in syncytial blastoderm formation","Formation of furrows in the cytoplasm between nuclei during cell cycles in embryos that contribute to the formation of the syncytial blastoderm. An example of this process is found in Drosophila melanogaster.",0.0003429425,3.46,"GO:0030589","blue","up","30","BP"
"blue_30","37","5",6.83,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0035120"">GO:0035120</a>","post-embryonic appendage morphogenesis","The process, occurring after embryonic development, by which the anatomical structures of an appendage are generated and organized. An appendage is an organ or part that is attached to the trunk of an organism, such as a limb or a branch.",0.004795866,2.32,"GO:0035120","blue","up","30","BP"
"blue_30","38","5",5.82,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002165"">GO:0002165</a>","instar larval or pupal development","The process whose specific outcome is the progression of the instar larva or pupa over time, from its formation to the mature structure. An example of this process is found in Drosophila melanogaster.",0.003019745,2.52,"GO:0002165","blue","up","30","BP"
"blue_30","39","5",5.78,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009886"">GO:0009886</a>","post-embryonic animal morphogenesis","The process, occurring after animal embryonic development, by which anatomical structures are generated and organized.",0.00162536,2.79,"GO:0009886","blue","up","30","BP"
"blue_30","40","5",6.08,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048707"">GO:0048707</a>","instar larval or pupal morphogenesis","The process, occurring during instar larval or pupal development, by which anatomical structures are generated and organized.",0.0008240643,3.08,"GO:0048707","blue","up","30","BP"
"blue_30","41","5",10.32,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0035149"">GO:0035149</a>","lumen formation, open tracheal system","Creation of the central hole of a tube in an open tracheal system through which gases flow.",0.0008281227,3.08,"GO:0035149","blue","up","30","BP"
"blue_30","42","5",6.8,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0035114"">GO:0035114</a>","imaginal disc-derived appendage morphogenesis","The process in which the anatomical structures of appendages are generated and organized. An appendage is an organ or part that is attached to the trunk of an organism.",0.005520507,2.26,"GO:0035114","blue","up","30","BP"
"blue_30","43","5",6.53,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048737"">GO:0048737</a>","imaginal disc-derived appendage development","The process whose specific outcome is the progression of an appendage over time, from its formation in the imaginal disc to the mature structure. An appendage is an organ or part that is attached to the trunk of an organism.",0.007237727,2.14,"GO:0048737","blue","up","30","BP"
"blue_30","44","5",2.28,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007275"">GO:0007275</a>","multicellular organism development","The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).",0.003010086,2.52,"GO:0007275","blue","up","30","BP"
"blue_30","45","5",6.07,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007552"">GO:0007552</a>","metamorphosis","A biological process in which an animal physically develops after birth or hatching, involving a conspicuous and relatively abrupt change in the animal's form or structure. Examples include the change from tadpole to frog, and the change from larva to adult. An example of this is found in Drosophila melanogaster.",0.001248023,2.9,"GO:0007552","blue","up","30","BP"
"blue_30","46","5",8.81,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007349"">GO:0007349</a>","cellularization","The separation of a multi-nucleate cell or syncytium into individual cells. An example of this is found in Drosophila melanogaster embryo development.",0.009360279,2.03,"GO:0007349","blue","up","30","BP"
"blue_30","47","5",5.23,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0035239"">GO:0035239</a>","tube morphogenesis","The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system.",0.004874503,2.31,"GO:0035239","blue","up","30","BP"
"blue_30","48","6",9.3,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060281"">GO:0060281</a>","regulation of oocyte development","Any process that modulates the rate or extent of the process whose specific outcome is the progression of an oocyte over time, from initial commitment of the cell to its specific fate, to the fully functional differentiated cell.",0.0002373982,3.62,"GO:0060281","blue","up","30","BP"
"blue_30","49","6",8.57,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1905879"">GO:1905879</a>","regulation of oogenesis","NA",0.000428106,3.37,"GO:1905879","blue","up","30","BP"
"blue_30","50","6",10.6,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060282"">GO:0060282</a>","positive regulation of oocyte development","Any process that increases the rate or extent of the process whose specific outcome is the progression of an oocyte over time, from initial commitment of the cell to its specific fate, to the fully functional differentiated cell.",0.002161134,2.67,"GO:0060282","blue","up","30","BP"
"blue_30","51","6",10.45,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1905881"">GO:1905881</a>","positive regulation of oogenesis","NA",0.004585389,2.34,"GO:1905881","blue","up","30","BP"
"blue_30","52","6",10,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046843"">GO:0046843</a>","dorsal appendage formation","Establishment of the dorsal filaments, elaborate specializations of the chorion that protrude from the anterior end of the egg and facilitate embryonic respiration.",0.005082313,2.29,"GO:0046843","blue","up","30","BP"
"blue_30","53","6",9.45,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0001556"">GO:0001556</a>","oocyte maturation","A developmental process, independent of morphogenetic (shape) change, that is required for an oocyte to attain its fully functional state. Oocyte maturation commences after reinitiation of meiosis commonly starting with germinal vesicle breakdown, and continues up to the second meiotic arrest prior to fertilization.",0.003058531,2.51,"GO:0001556","blue","up","30","BP"
"blue_30","54","6",9.91,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1900193"">GO:1900193</a>","regulation of oocyte maturation","NA",0.002161134,2.67,"GO:1900193","blue","up","30","BP"
"blue_30","55","6",7.35,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030707"">GO:0030707</a>","follicle cell of egg chamber development","The process that occurs during oogenesis involving the ovarian follicle cells, somatic cells which surround the germ cells of an ovary. An example of this is found in Drosophila melanogaster.",0.0005250445,3.28,"GO:0030707","blue","up","30","BP"
"blue_30","56","6",5.39,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007281"">GO:0007281</a>","germ cell development","The process whose specific outcome is the progression of an immature germ cell over time, from its formation to the mature structure (gamete). A germ cell is any reproductive cell in a multicellular organism.",0.009153651,2.04,"GO:0007281","blue","up","30","BP"
"blue_30","57","6",5.77,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048477"">GO:0048477</a>","oogenesis","The complete process of formation and maturation of an ovum or female gamete from a primordial female germ cell. Examples of this process are found in Mus musculus and Drosophila melanogaster.",0.0005030997,3.3,"GO:0048477","blue","up","30","BP"
"blue_30","58","6",6.64,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009994"">GO:0009994</a>","oocyte differentiation","The process in which a relatively unspecialized immature germ cell acquires the specialized features of a mature female gamete.",0.000985241,3.01,"GO:0009994","blue","up","30","BP"
"blue_30","59","6",6.86,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048599"">GO:0048599</a>","oocyte development","The process whose specific outcome is the progression of an oocyte over time, from initial commitment of the cell to its specific fate, to the fully functional differentiated cell.",0.0004080426,3.39,"GO:0048599","blue","up","30","BP"
"blue_30","60","7",9.69,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0080154"">GO:0080154</a>","regulation of fertilization","Any process that modulates the rate, frequency or extent of fertilization. Fertilization is the union of gametes of opposite sexes during the process of sexual reproduction to form a zygote. It involves the fusion of the gametic nuclei (karyogamy) and cytoplasm (plasmogamy).",0.002161134,2.67,"GO:0080154","blue","up","30","BP"
"blue_30","61","7",7.76,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009566"">GO:0009566</a>","fertilization","The union of gametes of opposite sexes during the process of sexual reproduction to form a zygote. It involves the fusion of the gametic nuclei (karyogamy) and cytoplasm (plasmogamy).",0.005122923,2.29,"GO:0009566","blue","up","30","BP"
"blue_30","62","7",4.42,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0019953"">GO:0019953</a>","sexual reproduction","A type of reproduction that combines the genetic material of two gametes (such as a sperm or egg cell or fungal spores). The gametes have an haploid genome (with a single set of chromosomes, the product of a meiotic division) and combines with one another to produce a zygote (diploid).",0.008932953,2.05,"GO:0019953","blue","up","30","BP"
"blue_30","63","7",5.51,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007292"">GO:0007292</a>","female gamete generation","Generation of the female gamete; specialised haploid cells produced by meiosis and along with a male gamete takes part in sexual reproduction.",0.0005250946,3.28,"GO:0007292","blue","up","30","BP"
"blue_30","64","7",4.29,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032504"">GO:0032504</a>","multicellular organism reproduction","The biological process in which new individuals are produced by one or two multicellular organisms. The new individuals inherit some proportion of their genetic material from the parent or parents.",0.003441483,2.46,"GO:0032504","blue","up","30","BP"
"blue_30","65","7",4.58,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048609"">GO:0048609</a>","multicellular organismal reproductive process","The process, occurring above the cellular level, that is pertinent to the reproductive function of a multicellular organism. This includes the integrated processes at the level of tissues and organs.",0.007681593,2.11,"GO:0048609","blue","up","30","BP"
"blue_30","66","8",9.62,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030859"">GO:0030859</a>","polarized epithelial cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of a polarized epithelial cell. The polarized epithelial cell can be any of the cells within an epithelium where the epithelial sheet is oriented with respect to the planar axis.",0.008342656,2.08,"GO:0030859","blue","up","30","BP"
"blue_30","67","8",10.32,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045198"">GO:0045198</a>","establishment of epithelial cell apical/basal polarity","The specification and formation of the apicobasal polarity of an epithelial cell.",0.008342656,2.08,"GO:0045198","blue","up","30","BP"
"blue_30","68","8",6.35,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002064"">GO:0002064</a>","epithelial cell development","The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface.",0.006531707,2.18,"GO:0002064","blue","up","30","BP"
"blue_30","69","8",7.7,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002066"">GO:0002066</a>","columnar/cuboidal epithelial cell development","The process whose specific outcome is the progression of a columnar/cuboidal epithelial cell over time, from its formation to the mature structure. A columnar/cuboidal epithelial cell is a cell usually found in a two dimensional sheet with a free surface. Columnar/cuboidal epithelial cells take on the shape of a column or cube.",0.002210134,2.66,"GO:0002066","blue","up","30","BP"
"blue_30","70","8",9.56,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0035026"">GO:0035026</a>","leading edge cell differentiation","The process in which relatively unspecialized cells acquire specialized structural and/or functional features of leading edge cells, cells at the front of a migrating epithelial sheet.",0.004585389,2.34,"GO:0035026","blue","up","30","BP"
"blue_30","71","8",6.85,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002065"">GO:0002065</a>","columnar/cuboidal epithelial cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of a columnar/cuboidal epithelial cell. A columnar/cuboidal epithelial cell is a cell usually found in a two dimensional sheet with a free surface. Columnar/cuboidal epithelial cells take on the shape of a column or cube.",0.0003257389,3.49,"GO:0002065","blue","up","30","BP"
"blue_30","72","8",5.38,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030855"">GO:0030855</a>","epithelial cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium.",0.002352852,2.63,"GO:0030855","blue","up","30","BP"
"blue_30","73","9",7.82,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0030239"">GO:0030239</a>","myofibril assembly","Formation of myofibrils, the repeating units of striated muscle.",0.002188832,2.66,"GO:0030239","blue","up","30","BP"
"blue_30","74","9",7.11,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010927"">GO:0010927</a>","cellular component assembly involved in morphogenesis","The cellular component assembly that is part of the initial shaping of the component during its developmental progression.",0.0002787479,3.55,"GO:0010927","blue","up","30","BP"
"blue_30","75","9",4.95,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032989"">GO:0032989</a>","cellular anatomical entity morphogenesis","The process in which a cellular entity is generated and organized. A cellular entity has granularity above the level of a protein complex but below that of an anatomical system.",0.0001523115,3.82,"GO:0032989","blue","up","30","BP"
"blue_30","76","9",10.6,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0021861"">GO:0021861</a>","forebrain radial glial cell differentiation","The process in which neuroepithelial cells of the neural tube give rise to radial glial cells, specialized bipotential progenitors cells of the forebrain. Differentiation includes the processes involved in commitment of a cell to a specific fate.",0.002161134,2.67,"GO:0021861","blue","up","30","BP"
"blue_30","77","9",9.76,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060019"">GO:0060019</a>","radial glial cell differentiation","The process in which neuroepithelial cells of the neural tube give rise to radial glial cells, specialized bipotential progenitors cells of the brain. Differentiation includes the processes involved in commitment of a cell to a specific fate.",0.008342656,2.08,"GO:0060019","blue","up","30","BP"
"blue_30","78","9",6.86,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0055001"">GO:0055001</a>","muscle cell development","The process whose specific outcome is the progression of a muscle cell over time, from its formation to the mature structure. Muscle cell development does not include the steps involved in committing an unspecified cell to the muscle cell fate.",0.009266119,2.03,"GO:0055001","blue","up","30","BP"
"blue_30","79","9",7.39,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0055002"">GO:0055002</a>","striated muscle cell development","The process whose specific outcome is the progression of a striated muscle cell over time, from its formation to the mature structure. Striated muscle cells contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle.",0.003529316,2.45,"GO:0055002","blue","up","30","BP"
"blue_30","80","9",5.83,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045165"">GO:0045165</a>","cell fate commitment","The cellular developmental process by which a cell establishes the intrinsic character of a cell or tissue region irreversibly committing it to a particular fate.",0.0005433782,3.26,"GO:0045165","blue","up","30","BP"
"blue_30","81","9",2.88,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048869"">GO:0048869</a>","cellular developmental process","A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition.",0.005373076,2.27,"GO:0048869","blue","up","30","BP"
"blue_30","82","10",8.25,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0045665"">GO:0045665</a>","negative regulation of neuron differentiation","Any process that stops, prevents, or reduces the frequency, rate or extent of neuron differentiation.",0.006862091,2.16,"GO:0045665","blue","up","30","BP"
"blue_30","83","10",6.49,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010721"">GO:0010721</a>","negative regulation of cell development","Any process that decreases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate.",0.003829827,2.42,"GO:0010721","blue","up","30","BP"
"blue_30","84","10",9.4,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010771"">GO:0010771</a>","negative regulation of cell morphogenesis","Any process that decreases the frequency, rate or extent of cell morphogenesis contributing to cell differentiation. Cell morphogenesis involved in differentiation is the change in form (cell shape and size) that occurs when relatively unspecialized cells acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.",0.005217477,2.28,"GO:0010771","blue","up","30","BP"
"blue_30","85","10",6.56,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048469"">GO:0048469</a>","cell maturation","The cellular developmental process, independent of morphogenetic (shape) change, that is required for a specific cell to attain its fully functional state.",0.0005179217,3.29,"GO:0048469","blue","up","30","BP"
